id , kode_provinsi, nama_provinsi, kode_kabupaten_kota, nama_kabupaten_kota    , total , satuan      , tahun
1  , 32           , JAWA BARAT   , 3201               , KABUPATEN BOGOR        , 117.4 , KG/KAP/TAHUN, 2018
2  , 32           , JAWA BARAT   , 3202               , KABUPATEN SUKABUMI     , 129.5 , KG/KAP/TAHUN, 2018
3  , 32           , JAWA BARAT   , 3203               , KABUPATEN CIANJUR      , 127.3 , KG/KAP/TAHUN, 2018
4  , 32           , JAWA BARAT   , 3204               , KABUPATEN BANDUNG      , 114.1 , KG/KAP/TAHUN, 2018
5  , 32           , JAWA BARAT   , 3205               , KABUPATEN GARUT        , 120.6 , KG/KAP/TAHUN, 2018
6  , 32           , JAWA BARAT   , 3206               , KABUPATEN TASIKMALAYA  , 121.5 , KG/KAP/TAHUN, 2018
7  , 32           , JAWA BARAT   , 3207               , KABUPATEN CIAMIS       , 127.3 , KG/KAP/TAHUN, 2018
8  , 32           , JAWA BARAT   , 3208               , KABUPATEN KUNINGAN     , 116.3 , KG/KAP/TAHUN, 2018
9  , 32           , JAWA BARAT   , 3209               , KABUPATEN CIREBON      , 137.1 , KG/KAP/TAHUN, 2018
10 , 32           , JAWA BARAT   , 3210               , KABUPATEN MAJLENGKA    , 126.2 , KG/KAP/TAHUN, 2018
11 , 32           , JAWA BARAT   , 3211               , KABUPATEN SUMEDANG     , 121.3 , KG/KAP/TAHUN, 2018
12 , 32           , JAWA BARAT   , 3212               , KABUPATEN INDRAMAYU    , 141.3 , KG/KAP/TAHUN, 2018
13 , 32           , JAWA BARAT   , 3213               , KABUPATEN SUBANG       , 130.7 , KG/KAP/TAHUN, 2018
14 , 32           , JAWA BARAT   , 3214               , KABUPATEN PURWAKARTA   , 126.4 , KG/KAP/TAHUN, 2018
15 , 32           , JAWA BARAT   , 3215               , KABUPATEN KARAWANG     , 144.8 , KG/KAP/TAHUN, 2018
16 , 32           , JAWA BARAT   , 3216               , KABUPATEN BEKASI       , 121.2 , KG/KAP/TAHUN, 2018
17 , 32           , JAWA BARAT   , 3217               , KABUPATEN BANDUNG BARAT, 116.1 , KG/KAP/TAHUN, 2018
18 , 32           , JAWA BARAT   , 3218               , KABUPATEN PANGANDARAN  , 121.2 , KG/KAP/TAHUN, 2018
19 , 32           , JAWA BARAT   , 3271               , KOTA BOGOR             , 112.9 , KG/KAP/TAHUN, 2018
20 , 32           , JAWA BARAT   , 3272               , KOTA SUKABUMI          , 117.6 , KG/KAP/TAHUN, 2018
21 , 32           , JAWA BARAT   , 3273               , KOTA BANDUNG           , 108.5 , KG/KAP/TAHUN, 2018
22 , 32           , JAWA BARAT   , 3274               , KOTA CIREBON           , 109.0 , KG/KAP/TAHUN, 2018
23 , 32           , JAWA BARAT   , 3275               , KOTA BEKASI            , 114.7 , KG/KAP/TAHUN, 2018
24 , 32           , JAWA BARAT   , 3276               , KOTA DEPOK             , 110.4 , KG/KAP/TAHUN, 2018
25 , 32           , JAWA BARAT   , 3277               , KOTA CIMAHI            , 110.0 , KG/KAP/TAHUN, 2018
26 , 32           , JAWA BARAT   , 3278               , KOTA TASIKMALAYA       , 116.1 , KG/KAP/TAHUN, 2018
27 , 32           , JAWA BARAT   , 3279               , KOTA BANJAR            , 117.5 , KG/KAP/TAHUN, 2018
28 , 32           , JAWA BARAT   , 3201               , KABUPATEN BOGOR        , 116.7 , KG/KAP/TAHUN, 2019
29 , 32           , JAWA BARAT   , 3202               , KABUPATEN SUKABUMI     , 126.3 , KG/KAP/TAHUN, 2019
30 , 32           , JAWA BARAT   , 3203               , KABUPATEN CIANJUR      , 121.7 , KG/KAP/TAHUN, 2019
31 , 32           , JAWA BARAT   , 3204               , KABUPATEN BANDUNG      , 112.1 , KG/KAP/TAHUN, 2019
32 , 32           , JAWA BARAT   , 3205               , KABUPATEN GARUT        , 113.9 , KG/KAP/TAHUN, 2019
33 , 32           , JAWA BARAT   , 3206               , KABUPATEN TASIKMALAYA  , 118.0 , KG/KAP/TAHUN, 2019
34 , 32           , JAWA BARAT   , 3207               , KABUPATEN CIAMIS       , 122.4 , KG/KAP/TAHUN, 2019
35 , 32           , JAWA BARAT   , 3208               , KABUPATEN KUNINGAN     , 108.1 , KG/KAP/TAHUN, 2019
36 , 32           , JAWA BARAT   , 3209               , KABUPATEN CIREBON      , 139.1 , KG/KAP/TAHUN, 2019
37 , 32           , JAWA BARAT   , 3210               , KABUPATEN MAJLENGKA    , 122.2 , KG/KAP/TAHUN, 2019
38 , 32           , JAWA BARAT   , 3211               , KABUPATEN SUMEDANG     , 119.7 , KG/KAP/TAHUN, 2019
39 , 32           , JAWA BARAT   , 3212               , KABUPATEN INDRAMAYU    , 144.5 , KG/KAP/TAHUN, 2019
40 , 32           , JAWA BARAT   , 3213               , KABUPATEN SUBANG       , 127.3 , KG/KAP/TAHUN, 2019
